#
# Results on Thu, 14 Nov 2024 17:18:27 GMT
# USER AGENT: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36
# Design number was non-random = 6
#
# Columns below this comment are as follows:
# 1. Results reception time.
# 2. MD5 hash of participant's IP address.
# 3. Controller name.
# 4. Order number of item.
# 5. Inner element number.
# 6. Label.
# 7. Latin Square Group.
# 8. PennElementType.
# 9. PennElementName.
# 10. Parameter.
# 11. Value.
# 12. EventTime.
# 13. Comments.
1731604707,d3ee7f746f17fc96996fdfbb4a8048f9,PennController,1,0,demographics,NULL,PennController,0,_Trial_,Start,1731604676759,NULL
1731604707,d3ee7f746f17fc96996fdfbb4a8048f9,PennController,1,0,demographics,NULL,Html,demographics,demographics_language1-mono_name,English,1731604700827,text input
1731604707,d3ee7f746f17fc96996fdfbb4a8048f9,PennController,1,0,demographics,NULL,Html,demographics,demographics_language1-bi_name,,1731604700827,text input
1731604707,d3ee7f746f17fc96996fdfbb4a8048f9,PennController,1,0,demographics,NULL,Html,demographics,demographics_language2-bi_name,,1731604700827,text input
1731604707,d3ee7f746f17fc96996fdfbb4a8048f9,PennController,1,0,demographics,NULL,Html,demographics,demographics_language1-multi_name,,1731604700827,text input
1731604707,d3ee7f746f17fc96996fdfbb4a8048f9,PennController,1,0,demographics,NULL,Html,demographics,demographics_language2-multi_name,,1731604700827,text input
1731604707,d3ee7f746f17fc96996fdfbb4a8048f9,PennController,1,0,demographics,NULL,Html,demographics,demographics_language3-multi_name,,1731604700827,text input
1731604707,d3ee7f746f17fc96996fdfbb4a8048f9,PennController,1,0,demographics,NULL,Html,demographics,demographics_language1-mono_exposure,checked,1731604700827,checkbox
1731604707,d3ee7f746f17fc96996fdfbb4a8048f9,PennController,1,0,demographics,NULL,Html,demographics,demographics_language1-mono_exposure,checked,1731604700828,checkbox
1731604707,d3ee7f746f17fc96996fdfbb4a8048f9,PennController,1,0,demographics,NULL,Html,demographics,demographics_language1-mono_exposure,checked,1731604700828,checkbox
